461 4 4     181.53260803      40.15074539       0.03739937
462 4 4     162.90057373      -1.08787608       0.03829499
463 8 8     183.32609558      21.63428879       0.02435642
464 6 6     195.42640686       5.03116560       0.03872340
465 5 5     156.21888733       9.59468937       0.04595067
466 6 6     192.14176941       9.12978268       0.04622490
467 2 2     227.04077148       1.24933910       0.03530599
468 4 4     199.65504456       7.93552399       0.04436450
469 8 8     131.68318176       2.53742290       0.02807627
470 3 3     162.03884888      48.33153534       0.04138428
471 2 2     114.77503967      29.16007042       0.03890886
472 7 7     171.20689392      23.94522476       0.02362400
473 4 4     236.00634766      28.27701378       0.03322881
474 6 6     172.18887329      22.92864418       0.03268650
475 3 3     200.79385376      43.08625793       0.02765822
476 6 6     128.07011414      11.84685230       0.04619783
477 8 8     151.63154602       1.14171088       0.04545481
478 3 3     226.79988098      20.47961044       0.04214593
479 2 2     260.66638184      30.88128281       0.04310874
480 2 2     158.19058228      58.86046600       0.04553073
481 6 6     255.99374390      24.17765808       0.03099427
482 6 6     149.42771912      36.21714401       0.04049322
483 7 7     224.24713135      62.87326813       0.04272743
484 4 4     219.06402588      29.90839195       0.03462841
485 1 1     186.25198364      28.55859184       0.03015276
486 6 6     224.79760742      13.42186069       0.04366223
487 3 3     185.17004395      19.10677338       0.04501138
488 5 5     119.87381744      27.02644348       0.02218111
489 2 2     117.65781403      22.99113274       0.04504784
490 4 4     223.57432556       4.28389597       0.02878398
491 7 7     154.49243164      37.18156815       0.04418184
492 4 4     158.72230530      45.26926041       0.02497196
493 2 2     119.16591644      44.10100174       0.04584222
494 5 5     224.67224121       7.98499250       0.03762982
495 5 5     120.29561615      30.41300774       0.04602267
496 5 5     222.48910522       0.55829072       0.03983419
497 7 7     232.56733704      27.09750366       0.03254386
498 3 3     201.97193909      28.50818062       0.03699426
499 5 5     172.27705383       8.98859310       0.02064890
500 4 4     208.38970947      37.38697815       0.02491072
501 4 4     245.83775330      37.25840759       0.03384328
502 3 3     225.33813477       1.63708496       0.03512850
503 7 7     145.37312317      53.19556808       0.04610779
504 6 6     247.19662476      21.49370766       0.03648881
505 4 4     148.13154602      15.77545166       0.02838714
506 10 10     226.68093872       5.32718420       0.03695276
507 4 4     164.06448364       9.75443172       0.03301271
508 6 6     172.44314575      15.33362293       0.03664017
509 4 4     185.83164978      14.30372524       0.04180851
510 6 6     243.16729736      33.03489685       0.03202694
511 3 3     147.46107483      12.69519711       0.02984636
512 4 4     138.55319214      16.74232674       0.02785455
513 6 6     214.13253784      39.58905029       0.02561216
514 6 6     180.12413025      11.99226952       0.04362664
515 4 4     198.30607605      33.98444366       0.03512864
516 2 2     151.44593811       2.24662137       0.04602380
517 2 2     124.10567474      25.99135590       0.04524226
518 2 2     162.59997559      64.80954742       0.04240567
519 6 6     221.04826355      19.02022934       0.04426508
520 7 7     216.85096741      37.47142029       0.03235376
521 4 4     204.56613159       4.54259729       0.02294176
522 4 4     192.74803162      47.67155838       0.02952814
523 5 5     167.56762695       7.80626249       0.04458903
524 8 8     226.85827637       7.11673117       0.03091625
525 4 4     166.52740479      34.69586563       0.04364118
526 4 4     239.81587219      15.17650223       0.04253459
527 4 4     218.49211121       3.74670315       0.03339703
528 3 3     149.14486694      11.16318226       0.04124524
529 6 6     151.59353638      52.81346130       0.04521784
530 5 5     133.12120056      56.11275101       0.04544340
531 3 3     195.07472229      28.20238686       0.02844437
532 2 2     212.69853210      35.91348648       0.02810444
533 5 5     169.71240234       7.52138758       0.03687022
534 3 3     125.56521606      56.29360580       0.04483992
535 4 4     155.99501038      43.85576630       0.04317834
536 2 2     237.60797119      18.13957977       0.04659455
537 6 6     213.71398926       3.13089323       0.02527736
538 4 4     139.53874207      16.19808960       0.03001125
539 9 9     167.75918579      25.90684700       0.04071997
540 5 5     218.60002136      48.03746414       0.03639655
541 4 4     250.84638977      39.80644226       0.03017642
542 3 3     198.75920105      38.08577347       0.04465532
543 4 4     163.04722595      66.78827667       0.04203178
544 7 7     157.88262939      24.12188530       0.04148909
545 5 5     179.28103638      66.58665466       0.04626502
546 5 5     139.46498108      33.97433472       0.04283196
547 5 5     129.24369812      55.64587021       0.04447328
548 7 7     131.88380432      53.90531158       0.04652024
549 2 2     167.50936890      63.64205551       0.03277287
550 5 5     161.46777344      25.95156670       0.02079586
